index,Price Date,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humid_Max,Humid_Avg,Humid_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Avg,Precipitation_Total
0,13,86.65,77.2875,66.95,60.585,65.50749999999995,60.585,88.515,69.84850000000003,48.95,7.995,2.7339999999999987,0.185,28.60799999999996,0.0
1,16,86.54,77.09349999999998,66.67,60.145,65.10499999999996,60.145,88.125,69.35650000000003,48.425,7.64,2.6999999999999997,0.185,28.613499999999963,0.0
2,3,86.135,75.95949999999998,64.76,57.435,62.66549999999993,57.435,86.675,66.41550000000002,44.67,7.42,2.4710000000000005,0.165,28.716499999999968,0.0
3,3,86.135,75.95949999999998,64.76,57.435,62.66549999999993,57.435,86.675,66.41550000000002,44.67,7.42,2.4710000000000005,0.165,28.716499999999968,0.0
4,4,86.125,75.8945,64.65,57.265,62.53549999999995,57.265,86.64,66.27800000000003,44.43,7.39,2.447,0.165,28.718999999999966,0.0
5,4,86.125,75.8945,64.65,57.265,62.53549999999995,57.265,86.64,66.27800000000003,44.43,7.39,2.447,0.165,28.718999999999966,0.0
6,6,86.135,75.81349999999998,64.44,57.015,62.29699999999993,57.015,86.49,65.94050000000001,43.985,7.38,2.4230000000000005,0.155,28.722499999999968,0.0
7,7,86.165,75.80299999999998,64.395,56.88,62.19849999999993,56.88,86.38,65.73400000000001,43.735,7.395,2.418,0.145,28.720999999999968,0.0
8,13,86.185,75.54099999999998,63.78,55.79,61.232999999999954,55.79,85.395,64.24250000000002,42.07,7.275,2.325,0.105,28.732999999999965,0.0
9,17,86.135,75.37299999999998,63.485,55.32,60.85999999999997,55.32,85.08,63.81500000000001,41.585,7.24,2.2700000000000014,0.09,28.738499999999966,0.0
10,21,86.15,75.24399999999999,62.615,54.42,60.42299999999997,54.42,84.695,63.17999999999999,40.71,7.16,2.218000000000001,0.09,28.742999999999967,0.0
11,27,86.39,75.25049999999997,62.33,53.545,59.65799999999997,53.545,83.635,61.80749999999999,39.29,7.205,2.2150000000000007,0.07,28.799499999999966,0.0
12,10,86.745,75.24999999999999,62.56,52.56,58.258499999999984,52.56,81.475,59.11699999999999,37.175,7.145,2.2075000000000005,0.06,28.81849999999999,0.0
13,10,86.745,75.24999999999999,62.56,52.56,58.258499999999984,52.56,81.475,59.11699999999999,37.175,7.145,2.2075000000000005,0.06,28.81849999999999,0.0
14,11,86.835,75.28249999999998,62.515,52.39,58.11699999999999,52.39,81.25,58.81449999999999,36.845,7.145,2.204500000000001,0.06,28.819499999999994,0.0
15,13,86.97,75.36799999999998,62.15,51.91,57.892999999999994,51.91,80.695,58.25449999999998,36.29,7.13,2.206500000000001,0.06,28.8215,0.0
16,13,86.97,75.36799999999998,62.15,51.91,57.892999999999994,51.91,80.695,58.25449999999998,36.29,7.13,2.206500000000001,0.06,28.8215,0.0
17,29,88.135,75.94399999999995,61.71,49.735,56.29850000000001,49.735,77.49,54.33349999999998,32.105,6.995,2.181000000000001,0.05,28.834500000000034,0.0
18,31,88.305,76.07399999999997,61.74,49.405,56.00700000000001,49.405,76.93,53.78849999999997,31.7,7.02,2.201000000000001,0.05,28.834000000000024,0.0
19,17,89.56,76.85049999999995,61.63,46.825,54.034,46.825,73.02,49.80049999999999,28.305,10.94,2.4595,0.025,28.831000000000014,0.0
20,18,89.59,76.86599999999997,61.65,46.735,53.9585,46.735,72.835,49.65799999999999,28.21,10.955,2.4695,0.025,28.83050000000002,0.0
21,28,90.26,77.51099999999997,61.94,45.75,53.18,45.75,70.88,47.82549999999999,26.95,11.145,2.573,0.025,28.824000000000023,0.0
22,1,90.585,77.81199999999995,62.13,45.415,52.9075,45.415,70.22,47.17099999999999,26.5,11.2,2.5855,0.025,28.821000000000023,0.0
23,8,91.125,78.46149999999997,62.71,44.7,52.166000000000004,44.7,68.3,45.62000000000001,25.64,11.475,2.7815,0.09,28.812000000000033,0.0
24,22,92.46,79.8605,64.03,43.595,51.15600000000001,43.595,64.545,42.83199999999998,23.95,11.915,3.0649999999999995,0.125,28.78900000000005,0.0
25,21,92.255,84.169,74.04,62.115,68.32349999999997,62.115,81.99,67.20700000000001,48.495,12.175,4.62,0.765,28.603499999999947,0.0
26,24,91.885,83.73249999999999,73.605,62.36,68.58249999999997,62.36,83.03,68.0045,48.925,12.06,4.550000000000002,0.74,28.607999999999947,0.0
27,27,91.51,83.33599999999997,73.21,62.585,68.79199999999997,62.585,83.955,68.7565,49.375,11.935,4.487,0.74,28.615499999999933,0.0
28,4,90.63,82.4145,72.09,62.875,69.28599999999993,62.875,86.095,70.48549999999999,50.325,11.66,4.339499999999999,0.705,28.62599999999993,0.0
29,11,89.525,81.28000000000002,71.395,63.28,69.35749999999993,63.28,87.95,71.942,51.255,11.515,4.235499999999999,0.68,28.640999999999927,0.0
30,15,88.89,80.67049999999998,70.86,63.63,69.61599999999993,63.63,89.19,73.064,52.035,11.44,4.182499999999999,0.655,28.64799999999993,0.0
31,25,87.23,79.18949999999995,69.945,63.97,69.53699999999995,63.97,91.29,75.0475,53.805,11.21,4.009999999999999,0.655,28.667999999999928,0.0
32,26,87.035,79.02499999999995,69.82,63.905,69.52349999999996,63.905,91.44,75.30099999999999,53.945,11.19,3.9984999999999986,0.655,28.681499999999932,0.0
