index,Price Date,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humid_Max,Humid_Avg,Humid_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Avg,Precipitation_Total
0,1,92.21875,80.28687499999997,67.30625,56.0125,62.21312499999999,56.0125,78.63125,57.805625000000006,37.2875,9.8375,4.271874999999996,1.18125,29.633749999999928,0.0
1,2,92.18125,80.16937499999997,67.1,55.74375,61.98875,55.74375,78.5875,57.60312500000002,36.94375,9.79375,4.2187499999999964,1.14375,29.636874999999932,0.0
2,3,92.14375,80.05624999999995,66.91875,55.475,61.74875,55.475,78.45625,57.36187500000002,36.6,9.76875,4.183124999999997,1.10625,29.639999999999933,0.0
3,4,92.13125,79.94812499999998,66.74375,55.2625,61.544375,55.2625,78.38125,57.16812500000002,36.2875,9.74375,4.1424999999999965,1.0625,29.642499999999934,0.0
4,5,92.09375,79.84062499999995,66.55625,55.05,61.355,55.05,78.3375,57.011250000000025,36.025,9.70625,4.098749999999997,1.025,29.644999999999946,0.0
5,7,91.86875,79.53187499999999,66.16875,54.51875,60.89375,54.51875,78.3875,56.72250000000002,35.69375,9.30625,4.046874999999997,0.9625,29.65062499999995,0.0
6,8,91.74375,79.36062499999998,65.975,54.29375,60.68437500000001,54.29375,78.28125,56.62750000000002,35.58125,9.26875,4.009999999999998,0.91875,29.653124999999953,0.0
7,9,91.64375,79.21187499999998,65.7625,54.08125,60.48,54.08125,78.2875,56.505625000000016,35.45,9.2375,3.976249999999999,0.88125,29.65562499999996,0.0
8,10,91.51875,79.06687499999997,65.575,53.875,60.26375,53.875,78.15,56.35812500000002,35.35,9.2125,3.935,0.84375,29.657499999999963,0.0
9,11,91.40625,78.93874999999997,65.39375,53.6625,60.05687500000002,53.6625,77.99375,56.201250000000016,35.23125,9.16875,3.897499999999999,0.80625,29.65937499999996,0.0
10,12,91.31875,78.80249999999995,65.21875,53.45625,59.87437500000002,53.45625,77.98125,56.10375000000001,35.0875,9.11875,3.8524999999999987,0.76875,29.661874999999966,0.0
11,15,91.1,78.43062499999995,64.71875,52.85,59.30937500000002,52.85,77.7875,55.68125000000002,34.5375,9.1,3.788125,0.7,29.669999999999966,0.0
12,16,91.06875,78.31624999999994,64.55,52.6125,59.10375000000002,52.6125,77.65,55.49687500000002,34.28125,9.08125,3.7599999999999993,0.68125,29.671874999999968,0.0
13,17,90.9875,78.18499999999995,64.35625,52.4,58.90187500000002,52.4,77.6375,55.36062500000001,34.075,9.0375,3.725625,0.6625,29.673749999999966,0.0
14,18,90.93125,78.08812499999995,64.21875,52.2,58.71187500000002,52.2,77.4375,55.17187500000002,33.9,8.99375,3.6899999999999986,0.625,29.676249999999968,0.0
15,19,90.9125,78.00249999999996,64.06875,51.975,58.49875000000001,51.975,77.26875,54.94812500000001,33.6375,8.94375,3.654375,0.58125,29.679374999999986,0.0
16,21,90.84375,77.81062499999993,63.74375,51.59375,58.16812500000001,51.59375,77.18125,54.67875000000002,33.225,8.90625,3.604375,0.54375,29.683749999999996,0.0
17,22,90.75625,77.69124999999994,63.5875,51.425,58.004375,51.425,77.2,54.58625000000002,33.09375,8.91875,3.593125,0.525,29.685625,0.0
18,23,90.65625,77.54749999999996,63.4125,51.225,57.82062500000001,51.225,77.21875,54.498125,32.9625,8.85625,3.55875,0.50625,29.688125000000007,0.0
19,24,90.65625,77.46312499999995,63.24375,50.99375,57.58875000000001,50.99375,77.0375,54.16249999999999,32.6,8.8125,3.541875,0.50625,29.69125000000001,0.0
20,25,90.575,77.33812499999995,63.075,50.7,57.321250000000006,50.7,76.85625,53.85187499999999,32.25625,8.8125,3.528125,0.4875,29.694375,0.0
