,Price Date,Modal Price (Rs./Quintal),Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humid_Max,Humid_Avg,Humid_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Avg,Precipitation_Total
0,2,460,86.17619047619047,78.7038095238094,69.84285714285714,63.49523809523809,66.67428571428562,63.49523809523809,89.22857142857143,70.45904761904755,52.62857142857143,7.109523809523809,4.4385714285714215,2.2,0.0,0.0
1,3,450,85.99047619047619,78.51238095238081,69.64285714285714,63.37619047619047,66.54809523809513,63.37619047619047,89.31904761904762,70.58285714285708,52.76666666666666,7.109523809523809,4.429047619047613,2.185714285714285,0.0,0.0
2,4,500,85.82857142857142,78.32666666666654,69.43333333333334,63.22380952380952,66.39190476190467,63.22380952380952,89.41904761904762,70.6509523809523,52.76190476190475,7.085714285714285,4.413333333333327,2.1904761904761907,0.0,0.0
3,5,480,85.66190476190476,78.15285714285702,69.26666666666667,63.0952380952381,66.24428571428561,63.0952380952381,89.41904761904762,70.68809523809517,52.823809523809516,7.09047619047619,4.40619047619047,2.1809523809523808,0.0,0.0
4,7,500,85.31904761904762,77.82904761904747,68.96666666666667,62.88571428571429,65.99285714285703,62.88571428571429,89.40952380952379,70.80809523809519,53.023809523809526,7.1047619047619035,4.409999999999992,2.1952380952380954,0.0,0.0
5,8,510,85.1047619047619,77.6185714285713,68.77142857142857,62.8,65.89285714285704,62.8,89.6047619047619,70.99857142857135,53.2,7.071428571428571,4.374285714285707,2.1809523809523808,0.0,0.0
6,9,490,84.89047619047619,77.39571428571412,68.53333333333333,62.74761904761905,65.80809523809513,62.74761904761905,89.8857142857143,71.21761904761897,53.38095238095239,7.038095238095237,4.333809523809516,2.142857142857143,0.0,0.0
7,10,500,84.6952380952381,77.202857142857,68.31904761904761,62.680952380952384,65.7257142857142,62.680952380952384,90.16666666666669,71.3814285714285,53.50476190476191,6.990476190476191,4.2928571428571365,2.1142857142857143,0.0,0.0
8,11,510,84.51904761904763,76.97571428571416,68.03333333333333,62.6,65.65571428571421,62.6,90.52857142857141,71.61619047619041,53.57619047619048,6.9523809523809526,4.241904761904754,2.057142857142857,0.0,0.0
9,12,500,84.33809523809524,76.79238095238081,67.83809523809525,62.538095238095245,65.57952380952372,62.538095238095245,90.7761904761905,71.7861904761904,53.728571428571435,6.9,4.204761904761898,2.0476190476190474,0.0,0.0
10,14,510,83.97619047619048,76.42047619047605,67.48571428571428,62.31428571428572,65.3599999999999,62.31428571428572,91.09047619047621,72.04809523809517,53.92857142857143,6.842857142857143,4.178095238095231,2.057142857142857,0.0,0.0
11,15,520,83.8047619047619,76.23238095238081,67.29523809523809,62.214285714285715,65.23380952380943,62.214285714285715,91.03809523809522,72.12999999999994,54.014285714285705,6.852380952380952,4.1766666666666605,2.0619047619047617,0.0,0.0
12,16,515,83.60952380952381,76.02619047619035,67.07619047619048,62.109523809523814,65.10666666666657,62.109523809523814,91.1952380952381,72.26428571428566,54.0952380952381,6.847619047619048,4.164761904761898,2.0523809523809518,0.0,0.0
13,17,550,83.40952380952379,75.80476190476176,66.84285714285714,62.0,65.00666666666658,62.0,91.40476190476191,72.46190476190469,54.219047619047615,6.819047619047619,4.149523809523802,2.0476190476190474,0.0,0.0
14,18,540,83.2,75.60238095238081,66.63809523809523,61.938095238095244,64.91952380952371,61.938095238095244,91.6,72.62761904761898,54.38095238095239,6.8047619047619055,4.145714285714278,2.0476190476190474,0.0,0.0
15,19,555,83.03333333333333,75.40619047619033,66.41428571428571,61.823809523809516,64.81571428571421,61.823809523809516,91.84285714285713,72.79904761904754,54.49523809523809,6.761904761904763,4.1066666666666585,2.019047619047619,0.0,0.0
16,21,530,82.73809523809524,75.0785714285713,66.03809523809525,61.676190476190484,64.66571428571419,61.676190476190484,92.26190476190477,73.11809523809517,54.64285714285714,6.761904761904763,4.086190476190469,1.9857142857142855,0.0,0.0
17,22,520,82.6047619047619,74.9538095238094,65.90952380952379,61.6,64.555238095238,61.6,92.24761904761904,73.14476190476185,54.75714285714286,6.742857142857143,4.066190476190469,1.9666666666666663,0.0,0.0
18,23,600,82.46666666666667,74.80523809523795,65.76666666666667,61.48095238095239,64.43761904761895,61.48095238095239,92.24761904761904,73.2257142857142,54.823809523809516,6.738095238095237,4.052857142857136,1.9428571428571428,0.0,0.0
19,24,640,82.32857142857142,74.66666666666654,65.63809523809523,61.35238095238096,64.31333333333325,61.35238095238096,92.24761904761904,73.26380952380946,54.97619047619048,6.719047619047619,4.029999999999993,1.9190476190476191,0.0,0.0
20,25,650,82.2,74.53095238095226,65.50476190476189,61.219047619047615,64.16571428571419,61.219047619047615,92.24761904761904,73.22333333333326,54.871428571428574,6.738095238095237,4.0323809523809455,1.9,0.0,0.0
21,26,640,82.05238095238096,74.36619047619035,65.34285714285714,61.038095238095245,63.97190476190467,61.038095238095245,92.24761904761904,73.1461904761904,54.64285714285714,6.738095238095237,4.039523809523804,1.9142857142857144,0.0,0.0
22,28,680,81.75238095238095,74.03809523809511,64.95714285714286,60.66190476190477,63.59428571428562,60.66190476190477,92.24761904761904,73.00904761904755,54.35238095238096,6.7285714285714295,4.014285714285709,1.880952380952381,0.0,0.0
23,29,600,81.58571428571429,73.86571428571416,64.75714285714285,60.48095238095239,63.40238095238087,60.48095238095239,92.24761904761904,72.95333333333326,54.3047619047619,6.7142857142857135,4.00619047619047,1.8666666666666667,0.0,0.0
